sublineage,time,mean,upper,lower,time_correct,year,upper_log,lower_log,log
L3.1.1.1,156000.5436,23217371.38,4.63E+07,126330.1619,363.9423564,1656.057644,7.665580991,5.101507053,6.383544022
L3.1.1.1,157696.2017,23216539.84,4.63E+07,124667.0996,367.876362,1652.123638,7.665580991,5.095751856,6.380666423
L3.1.1.1,159391.8598,23282825.21,4.64E+07,124008.3927,371.8103677,1648.189632,7.666517981,5.093451079,6.37998453
L3.1.1.1,161087.5179,23281955.69,4.64E+07,122269.3341,375.7912067,1644.208793,7.666517981,5.087317547,6.376917764
L3.1.1.1,162783.176,23384989.61,4.66E+07,121625.9639,379.7252124,1640.274788,7.668385917,5.085026295,6.376706106
L3.1.1.1,164478.8341,23384728.18,4.66E+07,121103.1075,383.7060515,1636.293949,7.668385917,5.083155287,6.375770602
L3.1.1.1,166174.4921,23430344.96,4.67E+07,119744.1911,387.6400571,1632.359943,7.669316881,5.078254455,6.373785668
L3.1.1.1,167870.1502,NaN,NaN,NaN,391.6208962,1628.379104,NaN,NaN,NaN
L3.1.1.2,0,14529740.08,2.87E+07,323050.0916,0,2020,7.457881897,5.509269869,6.483575883
L3.1.1.2,644.5035423,14490860.88,2.85E+07,450654.6652,4.262576191,2015.737424,7.45484486,5.653843871,6.554344366
L3.1.1.2,1289.007085,14552021.38,2.85E+07,648376.9767,8.565748346,2011.434252,7.45484486,5.811827585,6.633336223
L3.1.1.2,1933.510627,14679853.27,2.85E+07,904040.7508,12.82832454,2007.171675,7.45484486,5.956188007,6.705516434
L3.1.1.2,2578.014169,14807170.58,2.85E+07,1158675.374,17.09090073,2002.909099,7.45484486,6.063961777,6.759403318
L3.1.1.2,3222.517712,14969176.11,2.86E+07,1368955.361,21.39407288,1998.605927,7.456366033,6.136389287,6.79637766
L3.1.1.2,3867.021254,15168868.24,2.88E+07,1539048.998,25.65664907,1994.343351,7.459392488,6.187252446,6.823322467
L3.1.1.2,4511.524796,15521398.74,2.94E+07,1641751.515,29.91922526,1990.080775,7.46834733,6.215307426,6.841827378
L3.1.1.2,5156.028339,15997283.55,3.03E+07,1725893.791,34.22239742,1985.777603,7.481442629,6.237014066,6.859228347
